[32m[I 2023-08-08 15:24:02,639][0m A new study created in memory with name: hyperparameter_search[0m
[2023-08-08 16:39:29,362][HYDRA] 	#14 : submodule.train.optimizer=RMSprop submodule.train.learn_rate=0.001 submodule.train.seq_len=240 submodule.train.num_samples=32 submodule.model.hidden_size=512 +experiment=hyperparameter_linear
[2023-08-08 16:49:42,471][HYDRA] Submitit 'slurm' sweep output dir : logs/hydra/2023_08_08_15_24_02
[2023-08-08 16:49:42,475][HYDRA] 	#15 : submodule.train.optimizer=AdamW submodule.train.learn_rate=0.001 submodule.train.seq_len=60 submodule.train.num_samples=32 submodule.model.hidden_size=512 +experiment=hyperparameter_linear
[2023-08-08 16:52:58,122][HYDRA] Submitit 'slurm' sweep output dir : logs/hydra/2023_08_08_15_24_02
[2023-08-08 16:52:58,125][HYDRA] 	#16 : submodule.train.optimizer=RMSprop submodule.train.learn_rate=0.001 submodule.train.seq_len=240 submodule.train.num_samples=8 submodule.model.hidden_size=512 +experiment=hyperparameter_linear
[2023-08-08 16:57:38,999][HYDRA] Submitit 'slurm' sweep output dir : logs/hydra/2023_08_08_15_24_02
[2023-08-08 16:57:39,002][HYDRA] 	#17 : submodule.train.optimizer=AdamW submodule.train.learn_rate=0.001 submodule.train.seq_len=240 submodule.train.num_samples=32 submodule.model.hidden_size=512 +experiment=hyperparameter_linear
[2023-08-08 17:04:56,561][HYDRA] Submitit 'slurm' sweep output dir : logs/hydra/2023_08_08_15_24_02
[2023-08-08 17:04:56,563][HYDRA] 	#18 : submodule.train.optimizer=RMSprop submodule.train.learn_rate=0.001 submodule.train.seq_len=120 submodule.train.num_samples=32 submodule.model.hidden_size=512 +experiment=hyperparameter_linear
[2023-08-08 17:12:48,161][HYDRA] Submitit 'slurm' sweep output dir : logs/hydra/2023_08_08_15_24_02
[2023-08-08 17:12:48,165][HYDRA] 	#19 : submodule.train.optimizer=AdamW submodule.train.learn_rate=0.001 submodule.train.seq_len=120 submodule.train.num_samples=8 submodule.model.hidden_size=512 +experiment=hyperparameter_linear
[2023-08-08 17:15:36,670][HYDRA] Best parameters: {'submodule.train.optimizer': 'AdamW', 'submodule.train.learn_rate': 0.001, 'submodule.train.seq_len': 240, 'submodule.train.num_samples': 32, 'submodule.model.hidden_size': 256}
[2023-08-08 17:15:36,670][HYDRA] Best value: 0.01087017823010683
